vx,vy,r
5.71737,-0.158651,0.0508248
5.72417,-0.156753,0.0517762
5.72834,-0.171451,0.100344
5.74732,-0.187336,0.0859468
5.7401,-0.152043,0.0975018
5.71941,-0.189961,0.098933
5.69962,-0.182224,0.0745905
5.67011,-0.151067,0.0852841
5.68066,-0.166847,0.057008
5.65187,-0.136645,0.0865129
5.64607,-0.155254,0.116938
5.61511,-0.174232,0.0887171
5.581,-0.160973,0.0489616
5.57128,-0.145858,0.0446334
5.53951,-0.143874,0.0571805
5.52587,-0.144375,0.0941729
5.52164,-0.150943,0.0967691
5.51023,-0.153027,0.0751535
5.49868,-0.145364,0.0504653
5.50158,-0.151067,0.0888684
5.49799,-0.130899,0.0729373
5.52849,-0.123438,0.0326205
5.53969,-0.110791,0.0640289
5.55318,-0.112487,0.0621775
5.5516,-0.0987722,0.0761999
5.56997,-0.0885947,0.0587718
5.58478,-0.0942103,0.0858641
5.59398,-0.0966289,0.0750009
5.6048,-0.0891562,0.11861
5.62509,-0.0825994,0.0442622
5.66284,-0.0501,0.107757
5.66974,-0.0532839,0.0751206
5.68141,-0.0455135,0.0300775
5.70214,-0.0493641,0.025893
5.70519,-0.0186271,0.0238551
5.70809,-0.0354019,0.0634799
5.6994,-0.0253215,0.0723857
5.69589,-0.0259991,0.0320001
5.69874,-0.0141141,0.0529072
5.70533,0.00517318,0.0990918
5.7197,-0.00568065,0.0442359
5.73856,0.00470738,0.0125355
5.73922,-0.000872134,0.0637318
5.75119,-0.0117425,0.0888612
5.74676,0.00443505,0.0657055
5.72817,0.0141118,0.052558
5.72601,-0.0165616,0.0959905
5.68859,0.00764403,0.0684988
5.69857,-0.0166432,0.0232476
5.67542,0.00960762,0.0699386
5.67641,-0.0035971,0.0759156
5.65293,-0.0313662,0.0822441
5.64138,0.011339,0.11852
5.61194,-0.0295983,0.0871396
5.5612,-0.0398027,0.113212
5.54395,-0.0302057,0.110203
5.53261,-0.0513155,0.132541
5.53527,-0.0482018,0.140775
5.5074,-0.034225,0.0198443
5.52176,-0.0649921,0.0668613
5.51489,-0.0482632,0.0852096
5.5184,-0.069653,0.133807
5.53353,-0.0632626,0.069439
5.53359,-0.0564594,0.116646
5.52296,-0.0473815,0.0259381
5.53914,-0.0755429,0.0726367
5.52425,-0.0613959,0.10972
5.53099,-0.0723624,0.0427054
5.53174,-0.0819061,0.0726719
5.54768,-0.0598048,0.101454
5.56154,-0.0837501,0.0855034
5.56294,-0.0985911,0.0228791
5.56347,-0.0865888,0.0595599
5.54766,-0.0664562,0.142035
5.54811,-0.0949134,0.0434306
5.51038,-0.128731,0.102458
5.53242,-0.0999598,0.0978282
5.5178,-0.128375,0.0673191
5.50925,-0.109654,0.120895
5.49277,-0.133444,0.125586
5.48903,-0.128892,0.0594179
5.48986,-0.134595,0.130007
5.47827,-0.138095,0.0795573
5.45436,-0.148766,0.0913947
5.44394,-0.1368,0.0521967
5.40575,-0.161403,0.0390822
5.3858,-0.165426,0.0954301
5.3748,-0.170811,0.0839199
5.35419,-0.171057,0.0733458
5.35409,-0.172795,0.145098
5.33225,-0.198666,0.0158013
5.3674,-0.202387,0.00885785
5.35481,-0.215752,0.035969
5.34372,-0.231171,0.0593659
5.32708,-0.241753,0.0297525
5.33266,-0.224756,0.0690425
5.34171,-0.280829,0.0888711
5.35389,-0.268455,0.0407048
5.36346,-0.28372,0.051228
5.38155,-0.294101,0.136853
5.41519,-0.316406,0.110722
5.43697,-0.333909,0.204008
5.4603,-0.322367,0.117123
5.47824,-0.357294,0.150284
5.50076,-0.349554,0.216453
5.50468,-0.368394,0.0719854
5.53956,-0.347431,0.0907545
5.5382,-0.360952,0.00976132
